"Year","Region","SiteCode","TidalHeight","Transect","LongestBladeLengthMean","LongestBladeLengthSe","LongestBladeWidthMean","SheathLengthMean","SheathLengthSe","EpiphyteBladeAreaMean","EpiphyteDryMassMean","EpiphytePerAreaMean","EpiphytePerAreaSe","DensityShootsMean","DensityShootsSd","DensityShootsSe","PercentSeagrassMean","PercentBareMean","PercentOtherMean","PrevalenceMean","SeverityMean","LesionAreaMean","CountBlades","Percent","CountBrokenTip","BladeAreaMean"
2020,"AK","A","L",4,289,83.6379100647547,3.2,58.6,7.92842985716592,NA,0.002,0.000294337582913976,8.6722542798334e-05,845,191.175312213685,47.7938280534213,0.8875,0.11,0.0025,0.2,0.0573227020090883,0.17481508128,20,1,0,9.42952715593
2020,"AK","A","L",5,477.2,85.3155319974036,4.2,51.8,9.46255779374689,NA,0.0036,0.000326083825825453,6.82476421003305e-05,840,225.731403811403,56.4328509528507,0.8625,0.1125,0.025,0.85,0.0878822146046219,0.91906435039,20,1,2,14.95976950199
2020,"AK","A","L",6,319,41.8066980279476,2.2,52.8,8.21218606705912,NA,0.0192,0.00255503130339783,0.00212878471798114,719,332.800240384529,83.2000600961321,0.875,0.1125,0.0125,0.55,0.0384734510978132,0.12619196544,20,1,0,7.19836317539
2020,"AK","A","U",1,241.6,39.1874980063795,1.84,38,6.73795221116921,3.5198,0.004,0.00189620306306803,0.00138017242445641,791,254.398637312912,63.5996593282281,0.625,0.225,0.15,0.35,0.208014064332404,0.17407530304,20,1,3,3.06769877309
2020,"AK","A","U",2,321.6,35.9841631832672,2.3,45.4,10.0179838290946,4.655,0.00319999999999998,0.000699230613451939,0.000166612351454258,969,216.453228204155,54.1133070510388,0.825,0.0575,0.1175,0.5,0.150783630575301,0.45528541662,20,1,2,5.21340238372
2020,"AK","A","U",3,222.2,7.98373346248483,2,24.2,5.7567351858497,NA,0.00279999999999998,0.000804836114557596,0.00018033547454831,704,278.720887866936,69.6802219667341,0.775,0.025,0.2,0.55,0.145498013250778,0.32812176191,20,1,0,3.52120329829
2020,"AK","B","L",4,910.8,230.865848492149,4.8,74.4,13.9089898986231,NA,-0.00980000000000003,-0.00457776427588426,0.00488715762038028,140,38.2273898315505,9.55684745788763,0.5375,0.4125,0.05,0.3,0.011951994971928,0.17909914336,20,1,10,34.71609392016
2020,"AK","B","L",5,1069.4,112.791666358823,5.8,73.4,9.3680307429043,NA,0.0396,0.000554569543651701,7.06509544731199e-05,246,79.2296240893098,19.8074060223274,0.7625,0.2375,0,0.315789473684211,0.00677594119978451,0.130452088947368,19,0.95,6,55.4502182515789
2020,"AK","B","L",6,1099.4,187.971699997633,4.6,79.4,25.6994163357848,NA,0.0104,0.000248024817689492,9.54285568842177e-05,290,74.5117440407886,18.6279360101972,0.95,0.05,0,0.45,0.0123410827312737,0.28053145919,20,1,5,44.96525311885
2020,"AK","B","U",1,1125.8,66.6043542120183,5.2,143.4,14.1513250263005,NA,0.0132,0.000414144970955211,8.76056695375036e-05,143,36.7151195013716,9.17877987534291,0.65,0.32,0.03,0.4,0.0146555353857465,0.17667126847,20,1,3,28.93385506107
2020,"AK","B","U",2,1059.4,123.908272524477,5,70.4,16.8540796248267,NA,0.0168,0.000395085590020334,6.83512467828828e-05,351,38.1400926410341,9.53502316025854,0.825,0.05,0,0.3,0.0188311289383589,0.24652772768,20,1,6,38.78885447928
2020,"AK","B","U",3,1298,118.196023621778,5.2,165.6,29.2721710844959,NA,0.00699999999999998,0.000276836899751058,0.000156721744885985,257,35.080858978461,8.77021474461525,0.85,0.1475,0.0025,0.5,0.0117039964080779,0.27796875229,20,1,10,34.59070824963
2020,"AK","C","L",4,675.2,25.2970353994297,5.2,74.8,13.0207526664168,NA,0.0032,0.000133124586156634,4.46940856728083e-05,329,41.3602063179896,10.3400515794974,0.675,0.325,0,0.7,0.00909575584272628,0.13584144224,20,1,3,30.13035962239
2020,"AK","C","L",5,829.8,71.7944287532118,4.8,59,10.5166534601079,NA,0.0074,0.000179082603253981,9.4790418399061e-05,209,45.8839114868527,11.4709778717132,0.5,0.5,0,0.222222222222222,0.00734138259149528,0.0257938609777778,18,0.9,1,32.4995457276444
2020,"AK","C","L",6,862.6,118.185278271027,5.72,141.4,23.9094123725365,NA,0.00899999999999999,0.000393045980595229,0.000192307907538283,340,51.6397779494322,12.9099444873581,0.9375,0.0625,0,0.1,0.0048455155727548,0.01506343104,20,1,1,31.93746437764
2020,"AK","C","U",1,876.8,105.247517785457,3.9,82.4,15.6160174180231,NA,0.00345750000000003,0.000224950505731138,6.97890088332701e-05,204,53.7649204097492,13.4412301024373,0.575,0.425,0,0.75,0.03347384888115,0.53276887264,20,1,2,22.27768641379
2020,"AK","C","U",2,596.4,34.4493831584834,4,55.2,15.7936696179197,NA,0.0132,0.000806792848756277,0.000465000695127562,127,38.6953916291505,9.67384790728763,0.425,0.575,0,0.1,0.00374666351752971,0.0075416032,20,1,0,20.16997371395
2020,"AK","C","U",3,808.2,58.6970186636425,5.4,89.8,11.922248110151,NA,0.00175,4.29378458411812e-05,1.61247091845944e-05,417,43.3743395723017,10.8435848930754,0.95,0.05,0,0.2,0.0370078847996996,0.17643036862,20,1,1,27.13104155832
2020,"AK","D","L",4,677,42.6860632993955,5.2,32.8,3.48425027803687,NA,0.0555,0.00176988810449778,0.00105463100393905,69,22.7156333832011,5.67890834580027,0.3375,0.6125,0.05,0.1,0.0354710577703591,0.092337448,20,1,3,24.20542446195
2020,"AK","D","L",5,822.8,22.9093867224769,6,65.4,10.3373110623605,NA,0.0134,0.000296527561525336,6.3314438864668e-05,174,56.8037557443754,14.2009389360939,0.625,0.3725,0.0025,0.35,0.00576017245217409,0.0533350448,20,1,3,28.98260312141
2020,"AK","D","L",6,566.2,63.1509303177712,4.6,94,26.3039920924562,NA,0.00759999999999998,0.00025338807569707,3.82874914256361e-05,209,32.3934149686836,8.09835374217089,0.675,0.3225,0.0025,0.5,0.0160745897953835,0.31629519773,20,1,2,35.86886617173
2020,"AK","D","U",1,468.2,38.1135146634366,3.8,59.8,6.23217458035315,NA,0.0394,0.00333336748628381,0.00225125758759968,27,18.293896978683,4.57347424467075,0.0675,0.345,0.5875,0.05,0.0112095275504424,0.00830655008,20,1,0,14.99392064943
2020,"AK","D","U",2,511.4,66.3193787666923,4.8,46,13.0537350976646,NA,0.0046,0.000185511093971913,6.89888740889808e-05,127,77.4510598162909,19.3627649540727,0.2625,0.15,0.5875,0.2,0.00750180867453037,0.03000820992,20,1,1,24.29654752297
2020,"AK","D","U",3,557.4,99.2373921463074,4.6,56,13.7113092008021,NA,0.00699999999999997,0.000560243921637371,0.00025916102936909,93,80.4901650306835,20.1225412576709,0.2175,0.4575,0.325,0.3,0.0235806112897004,0.21335905566,20,1,0,27.27923990311
