"SampleDate","SampleId","Region","SiteCode","TidalHeight","Transect","Blade","BrokenTip","PrevalenceHand","Prevalence","LesionArea","HealthyArea","BladeArea","Severity","Year"
"2020-08-01","AK.A.1.U.1","AK","A","U",1,1,"Y","0",0,0,1.345857069,1.345857069,0,2020
"2020-08-01","AK.A.1.U.2","AK","A","U",1,2,"N","0",1,0.069573312,2.067963328,2.13753664,0.0325483599663583,2020
"2020-08-01","AK.A.1.U.3","AK","A","U",1,3,"N","0",0,0,3.227698304,3.227698304,0,2020
"2020-08-01","AK.A.1.U.4","AK","A","U",1,4,"N","0",0,0,3.099877568,3.099877568,0,2020
"2020-08-01","AK.A.1.U.5","AK","A","U",1,5,"N","0",0,0,4.438184045,4.447532397,0,2020
"2020-08-01","AK.A.1.U.6","AK","A","U",1,6,"N","0",0,0,3.675376499,3.675376499,0,2020
"2020-08-01","AK.A.1.U.7","AK","A","U",1,7,"N","0",0,0,1.7842768,1.7842768,0,2020
"2020-08-01","AK.A.1.U.8","AK","A","U",1,8,"N","0",0,0,2.223056083,2.223056083,0,2020
"2020-08-01","AK.A.1.U.9","AK","A","U",1,9,"N","0",0,0,3.903404378,3.903404378,0,2020
"2020-08-01","AK.A.1.U.10","AK","A","U",1,10,"N","0",1,0.062741824,1.152795622,1.215537446,0.0516165291381735,2020
"2020-08-01","AK.A.1.U.11","AK","A","U",1,11,"Y","0",0,0,2.960784877,2.960784877,0,2020
"2020-08-01","AK.A.1.U.12","AK","A","U",1,12,"N","0",0,0,2.088080262,2.088080262,0,2020
"2020-08-01","AK.A.1.U.13","AK","A","U",1,13,"N","1",1,0.2093131968,2.957494976,3.1668081728,0.0660959506792391,2020
"2020-08-01","AK.A.1.U.14","AK","A","U",1,14,"N","0",0,0,2.812182035,2.812182035,0,2020
"2020-08-01","AK.A.1.U.15","AK","A","U",1,15,"Y","1",1,0.048719296,4.575694707,4.624414003,0.0105352366739644,2020
"2020-08-01","AK.A.2.U.1","AK","A","U",2,1,"Y","1",1,0.1335555904,3.652203373,3.7857589634,0.0352784188563483,2020
"2020-08-01","AK.A.2.U.2","AK","A","U",2,2,"N","1",1,1.410019123,4.01927001,5.429289133,0.2597060293639,2020
"2020-08-01","AK.A.2.U.3","AK","A","U",2,3,"N","1",1,0.078562112,10.75170143,10.830263542,0.00725394277760042,2020
"2020-08-01","AK.A.2.U.4","AK","A","U",2,4,"N","1",1,1.009406285,3.18645769,4.195863975,0.240571737075914,2020
"2020-08-01","AK.A.2.U.5","AK","A","U",2,5,"N","0",0,0,7.55111335,7.55111335,0,2020
"2020-08-01","AK.A.2.U.6","AK","A","U",2,6,"N","0",1,0.136989312,6.331027571,6.468016883,0.0211794920263816,2020
"2020-08-01","AK.A.2.U.7","AK","A","U",2,7,"N","0",0,0,3.254035488,3.254035488,0,2020
"2020-08-01","AK.A.2.U.8","AK","A","U",2,8,"N","0",1,0.785980672,5.344902278,6.13088295,0.128200241043584,2020
"2020-08-01","AK.A.2.U.9","AK","A","U",2,9,"N","1",1,4.517123686,2.79416848,7.311292166,0.617828365142644,2020
"2020-08-01","AK.A.2.U.10","AK","A","U",2,10,"N","0",0,0,2.394346656,2.394346656,0,2020
"2020-08-01","AK.A.2.U.11","AK","A","U",2,11,"N","0",0,0,3.259824275,3.259824275,0,2020
"2020-08-01","AK.A.2.U.12","AK","A","U",2,12,"N","0",0,0,6.39245703,6.39245703,0,2020
"2020-08-01","AK.A.2.U.13","AK","A","U",2,13,"N","0",0,0,4.359100582,4.359100582,0,2020
"2020-08-01","AK.A.2.U.14","AK","A","U",2,14,"Y","0",0,0,3.819287187,3.819287187,0,2020
"2020-08-01","AK.A.2.U.15","AK","A","U",2,15,"N","0",0,0,4.062793779,4.062793779,0,2020
